FIPS,Location name,State name,NPI measure,Start Date,End Date
51001,Accomack,Virginia,business_close,2020/3/23,2020/5/14
51001,Accomack,Virginia,school_close,2020/3/13,2020/9/8
51001,Accomack,Virginia,college_close,2020/3/13,2020/8/24
51001,Accomack,Virginia,mask_mandate,2020/5/29,2021/5/28
51001,Accomack,Virginia,mask_mandate,2020/9/8,2022/2/22
51003,Albemarle,Virginia,school_close,2020/3/13,2020/10/8
51003,Albemarle,Virginia,school_close,2020/12/8,2021/1/11
51003,Albemarle,Virginia,school_close,2021/1/13,2021/2/1
51003,Albemarle,Virginia,college_close,2020/3/11,2020/9/8
51003,Albemarle,Virginia,mask_mandate,2020/7/25,2021/5/19
51003,Albemarle,Virginia,mask_mandate,2021/8/9,2022/3/28
51003,Albemarle,Virginia,mask_mandate,2021/7/8,2022/3/1
51003,Albemarle,Virginia,mask_mandate,2020/5/29,2021/5/28
51005,Alleghany,Virginia,business_close,2020/3/23,2020/5/14
51005,Alleghany,Virginia,school_close,2020/3/13,2020/9/8
51005,Alleghany,Virginia,school_close,2020/11/13,2020/11/30
51005,Alleghany,Virginia,school_close,2020/12/11,2021/1/11
51005,Alleghany,Virginia,mask_mandate,2020/8/12,2022/2/14
51005,Alleghany,Virginia,mask_mandate,2020/5/29,2021/5/28
51007,Amelia,Virginia,school_close,2020/3/12,2020/8/17
51007,Amelia,Virginia,mask_mandate,2021/8/9,2022/1/23
51007,Amelia,Virginia,mask_mandate,2020/5/29,2021/5/28
51009,Amherst,Virginia,school_close,2020/3/13,2020/9/9
51009,Amherst,Virginia,school_close,2021/9/2,2021/9/13
51009,Amherst,Virginia,mask_mandate,2020/7/30,2022/2/22
51009,Amherst,Virginia,mask_mandate,2020/5/29,2021/5/28
51009,Amherst,Virginia,mask_mandate,2021/8/18,2022/2/22
51011,Appomattox,Virginia,school_close,2021/1/5,2020/9/14
51011,Appomattox,Virginia,mask_mandate,2021/10/10,2022/1/24
51011,Appomattox,Virginia,mask_mandate,2020/5/29,2021/5/28
51013,Arlington,Virginia,school_close,2020/3/13,2021/3/2
51013,Arlington,Virginia,college_close,2020/3/11,2020/8/24
51013,Arlington,Virginia,religion_close,2020/3/16,2020/5/31
51013,Arlington,Virginia,mask_mandate,2020/5/29,2021/5/28
51013,Arlington,Virginia,mask_mandate,2021/7/30,2022/3/1
51015,Augusta,Virginia,business_close,2020/3/20,2020/6/1
51015,Augusta,Virginia,business_close,2020/3/16,2020/6/19
51015,Augusta,Virginia,business_close,2020/12/11,2021/4/26
51015,Augusta,Virginia,business_close,2020/3/23,2021/6/5
51015,Augusta,Virginia,school_close,2020/3/13,2020/8/23
51015,Augusta,Virginia,mask_mandate,2020/5/29,2021/5/28
51015,Augusta,Virginia,mask_mandate,2021/8/6,2022/2/14
51017,Bath,Virginia,business_close,2020/3/24,2020/6/1
51017,Bath,Virginia,school_close,2020/3/16,2020/8/26
51017,Bath,Virginia,school_close,2021/9/8,2021/9/17
51017,Bath,Virginia,religion_close,2020/3/14,2020/6/1
51017,Bath,Virginia,mask_mandate,2020/5/29,2021/5/28
51019,Bedford,Virginia,business_close,2020/3/23,2020/5/14
51019,Bedford,Virginia,school_close,2020/3/13,2020/9/8
51019,Bedford,Virginia,mask_mandate,2020/5/29,2021/5/28
51019,Bedford,Virginia,mask_mandate,2020/8/8,2022/2/1
51021,Bland,Virginia,school_close,2020/3/13,2020/11/2
51021,Bland,Virginia,mask_mandate,2020/5/29,2021/5/28
51023,Botetourt,Virginia,business_close,2020/3/16,2020/6/15
51023,Botetourt,Virginia,school_close,2020/3/13,2020/8/24
51023,Botetourt,Virginia,religion_close,2020/3/15,2020/7/5
51023,Botetourt,Virginia,mask_mandate,2020/6/11,2021/6/30
51023,Botetourt,Virginia,mask_mandate,2020/5/29,2021/5/28
51023,Botetourt,Virginia,mask_mandate,2021/8/6,2022/2/9
51025,Brunswick,Virginia,school_close,2020/3/13,2021/3/15
51025,Brunswick,Virginia,religion_close,2020/3/22,2020/5/15
51025,Brunswick,Virginia,mask_mandate,2020/5/29,2021/5/28
51027,Buchanan,Virginia,business_close,2020/3/23,2020/5/14
51027,Buchanan,Virginia,school_close,2020/3/16,2020/9/8
51027,Buchanan,Virginia,mask_mandate,2020/5/29,2021/5/28
51029,Buckingham,Virginia,school_close,2020/3/16,2021/8/9
51029,Buckingham,Virginia,mask_mandate,2021/8/3,2022/2/22
51029,Buckingham,Virginia,mask_mandate,2020/5/29,2021/5/28
51031,Campbell,Virginia,business_close,2020/3/13,2020/6/15
51031,Campbell,Virginia,business_close,2020/11/19,2020/12/14
51031,Campbell,Virginia,school_close,2020/3/23,2020/9/8
51031,Campbell,Virginia,mask_mandate,2020/5/29,2020/12/1
51031,Campbell,Virginia,mask_mandate,2021/8/11,2022/1/24
51033,Caroline,Virginia,business_close,2020/3/16,2020/6/1
51033,Caroline,Virginia,school_close,2020/3/13,2021/3/1
51033,Caroline,Virginia,mask_mandate,2020/5/29,2021/5/28
51035,Carroll,Virginia,business_close,2020/3/23,2020/5/14
51035,Carroll,Virginia,school_close,2020/3/13,2020/9/9
51035,Carroll,Virginia,school_close,2020/12/4,2021/1/18
51035,Carroll,Virginia,mask_mandate,2020/5/29,2021/5/28
51035,Carroll,Virginia,mask_mandate,2021/8/6,2022/1/24
51036,Charles City,Virginia,school_close,2020/3/13,2021/9/7
51036,Charles City,Virginia,mask_mandate,2021/8/23,2022/3/1
51036,Charles City,Virginia,mask_mandate,2020/5/29,2021/5/28
51037,Charlotte,Virginia,school_close,2020/3/13,2020/10/5
51037,Charlotte,Virginia,religion_close,2020/3/19,2020/5/14
51037,Charlotte,Virginia,mask_mandate,2020/5/29,2021/5/28
51037,Charlotte,Virginia,mask_mandate,2021/8/6,2022/1/24
51041,Chesterfield,Virginia,business_close,2020/3/23,2020/5/14
51041,Chesterfield,Virginia,school_close,2020/3/23,2020/9/29
51041,Chesterfield,Virginia,mask_mandate,2020/5/29,2021/5/28
51041,Chesterfield,Virginia,mask_mandate,2021/8/24,2022/1/27
51043,Clarke,Virginia,school_close,2020/3/16,2021/8/31
51043,Clarke,Virginia,mask_mandate,2021/8/31,2022/1/25
51043,Clarke,Virginia,mask_mandate,2020/5/29,2021/5/28
51045,Craig,Virginia,school_close,2020/3/13,2020/8/31
51045,Craig,Virginia,religion_close,2020/3/18,2020/6/7
51045,Craig,Virginia,mask_mandate,2020/8/11,2022/1/19
51045,Craig,Virginia,mask_mandate,2020/5/29,2021/5/28
51047,Culpeper,Virginia,business_close,2020/3/23,2020/5/14
51047,Culpeper,Virginia,school_close,2020/3/12,2020/8/24
51047,Culpeper,Virginia,religion_close,2020/3/12,2020/5/16
51047,Culpeper,Virginia,mask_mandate,2020/5/29,2021/5/28
51049,Cumberland,Virginia,school_close,2020/3/16,2021/8/24
51049,Cumberland,Virginia,mask_mandate,2020/5/29,2021/5/28
51051,Dickenson,Virginia,school_close,2020/3/13,2020/8/24
51051,Dickenson,Virginia,religion_close,2020/3/21,2020/6/7
51051,Dickenson,Virginia,religion_close,2020/8/6,2020/10/4
51051,Dickenson,Virginia,religion_close,2020/11/28,2021/1/17
51051,Dickenson,Virginia,mask_mandate,2020/7/22,2022/2/17
51051,Dickenson,Virginia,mask_mandate,2020/5/29,2021/5/28
51057,Essex,Virginia,school_close,2020/3/13,2020/10/26
51057,Essex,Virginia,school_close,2020/12/16,2021/2/16
51057,Essex,Virginia,mask_mandate,2020/12/14,2021/5/14
51057,Essex,Virginia,mask_mandate,2021/8/12,2022/2/1
51057,Essex,Virginia,mask_mandate,2020/5/29,2021/5/28
51059,Fairfax,Virginia,school_close,2020/3/12,2021/2/16
51059,Fairfax,Virginia,college_close,2020/3/11,2020/8/24
51059,Fairfax,Virginia,religion_close,2020/3/15,2020/10/25
51059,Fairfax,Virginia,mask_mandate,2020/5/29,2021/5/28
51059,Fairfax,Virginia,mask_mandate,2021/7/28,2022/3/1
51061,Fauquier,Virginia,business_close,2020/3/23,2020/5/14
51061,Fauquier,Virginia,school_close,2020/3/13,2020/11/9
51061,Fauquier,Virginia,school_close,2020/12/11,2021/1/19
51061,Fauquier,Virginia,mask_mandate,2021/8/12,2022/1/24
51061,Fauquier,Virginia,mask_mandate,2020/5/29,2021/5/28
51063,Floyd,Virginia,school_close,2020/3/16,2020/8/11
51063,Floyd,Virginia,religion_close,2020/3/15,2020/7/5
51063,Floyd,Virginia,mask_mandate,2021/8/9,2022/1/24
51063,Floyd,Virginia,mask_mandate,2020/5/29,2021/5/28
51065,Fluvanna,Virginia,school_close,2020/3/13,2021/8/11
51065,Fluvanna,Virginia,mask_mandate,2020/5/29,2021/5/28
51065,Fluvanna,Virginia,mask_mandate,2021/8/9,2022/1/27
51067,Franklin,Virginia,business_close,2020/3/24,2020/5/14
51067,Franklin,Virginia,school_close,2020/3/13,2020/9/8
51067,Franklin,Virginia,school_close,2021/9/3,2021/9/7
51067,Franklin,Virginia,college_close,2020/3/13,2020/8/25
51067,Franklin,Virginia,religion_close,2020/3/14,2020/5/17
51067,Franklin,Virginia,mask_mandate,2020/8/9,2022/2/15
51069,Frederick,Virginia,business_close,2020/3/23,2020/5/14
51069,Frederick,Virginia,school_close,2020/3/13,2020/9/8
51069,Frederick,Virginia,mask_mandate,2020/5/29,2021/5/28
51069,Frederick,Virginia,mask_mandate,2021/8/12,2022/3/1
51071,Giles,Virginia,school_close,2020/3/13,2020/8/24
51071,Giles,Virginia,school_close,2021/9/8,2021/9/13
51071,Giles,Virginia,religion_close,2020/3/14,2020/5/28
51071,Giles,Virginia,mask_mandate,2021/8/18,2022/1/24
51073,Gloucester,Virginia,school_close,2020/3/13,2020/9/29
51073,Gloucester,Virginia,college_close,2020/3/13,2021/7/6
51073,Gloucester,Virginia,religion_close,2020/3/22,2020/6/7
51073,Gloucester,Virginia,mask_mandate,2021/8/12,2022/1/24
51075,Goochland,Virginia,business_close,2020/3/23,2020/5/14
51075,Goochland,Virginia,school_close,2020/3/16,2020/10/14
51075,Goochland,Virginia,mask_mandate,2020/5/29,2021/5/28
51075,Goochland,Virginia,mask_mandate,2021/8/23,2022/1/24
51077,Grayson,Virginia,mask_mandate,2021/8/9,2022/1/24
51077,Grayson,Virginia,mask_mandate,2020/5/29,2021/5/28
51079,Greene,Virginia,school_close,2020/3/13,2020/9/8
51079,Greene,Virginia,religion_close,2020/3/13,2020/9/20
51079,Greene,Virginia,mask_mandate,2020/5/29,2021/5/28
51079,Greene,Virginia,mask_mandate,2021/8/11,2022/1/21
51081,Greensville,Virginia,school_close,2020/3/13,2021/3/9
51081,Greensville,Virginia,mask_mandate,2021/8/12,2022/2/28
51085,Hanover,Virginia,school_close,2020/3/12,2020/9/8
51085,Hanover,Virginia,college_close,2020/3/12,2020/8/15
51085,Hanover,Virginia,mask_mandate,2021/8/12,2022/1/31
51085,Hanover,Virginia,mask_mandate,2020/5/29,2021/5/28
51087,Henrico,Virginia,business_close,2020/3/16,2020/5/14
51087,Henrico,Virginia,school_close,2020/3/24,2021/2/22
51087,Henrico,Virginia,mask_mandate,2020/5/29,2021/5/28
51087,Henrico,Virginia,mask_mandate,2021/8/12,2022/2/25
51087,Henrico,Virginia,mask_mandate,2021/8/12,2022/2/28
51089,Henry,Virginia,school_close,2020/3/16,2021/3/10
51089,Henry,Virginia,mask_mandate,2020/5/29,2021/5/28
51091,Highland,Virginia,business_close,2020/3/23,2020/5/14
51091,Highland,Virginia,school_close,2020/3/13,2021/9/20
51091,Highland,Virginia,mask_mandate,2020/5/29,2021/5/28
51091,Highland,Virginia,mask_mandate,2021/9/13,2022/1/24
51093,Isle of Wight,Virginia,school_close,2020/3/13,2020/9/8
51093,Isle of Wight,Virginia,school_close,2021/1/4,2021/1/15
51093,Isle of Wight,Virginia,college_close,2020/3/18,2020/8/24
51093,Isle of Wight,Virginia,religion_close,2020/3/13,2020/6/21
51093,Isle of Wight,Virginia,religion_close,2021/1/21,2021/2/6
51093,Isle of Wight,Virginia,mask_mandate,2020/5/29,2021/5/28
51093,Isle of Wight,Virginia,mask_mandate,2020/11/13,2022/2/22
51095,James City,Virginia,business_close,2020/3/24,2020/5/14
51095,James City,Virginia,school_close,2020/3/16,2021/2/16
51095,James City,Virginia,school_close,2020/12/15,2021/1/25
51095,James City,Virginia,mask_mandate,2021/8/4,2022/3/1
51095,James City,Virginia,mask_mandate,2020/5/29,2021/5/28
51097,King and Queen,Virginia,school_close,2020/3/13,2020/9/8
51097,King and Queen,Virginia,school_close,2020/9/8,2021/8/24
51097,King and Queen,Virginia,religion_close,2020/3/17,2020/8/21
51097,King and Queen,Virginia,mask_mandate,2021/7/30,2022/2/16
51099,King George,Virginia,mask_mandate,2020/5/29,2021/5/28
51101,King William,Virginia,business_close,2020/3/24,2020/5/14
51101,King William,Virginia,school_close,2020/3/16,2020/9/8
51101,King William,Virginia,mask_mandate,2020/5/29,2021/5/28
51101,King William,Virginia,mask_mandate,2021/9/20,2022/1/24
51103,Lancaster,Virginia,school_close,2020/3/16,2021/2/16
51103,Lancaster,Virginia,religion_close,2020/3/16,2020/6/7
51103,Lancaster,Virginia,mask_mandate,2020/5/29,2021/5/28
51105,Lee,Virginia,business_close,2020/3/23,2020/5/14
51105,Lee,Virginia,school_close,2020/3/16,2021/8/10
51105,Lee,Virginia,mask_mandate,2020/5/29,2021/5/28
51105,Lee,Virginia,mask_mandate,2021/8/9,2022/2/12
51107,Loudoun,Virginia,business_close,2020/3/23,2020/5/14
51107,Loudoun,Virginia,school_close,2020/3/12,2020/9/8
51107,Loudoun,Virginia,religion_close,2020/3/14,2020/5/29
51107,Loudoun,Virginia,lockdown,2020/3/30,2020/6/10
51107,Loudoun,Virginia,mask_mandate,2020/5/29,2021/5/28
51107,Loudoun,Virginia,mask_mandate,2021/8/9,2022/2/22
51109,Louisa,Virginia,school_close,2020/3/17,2021/8/11
51109,Louisa,Virginia,mask_mandate,2020/5/29,2021/5/28
51111,Lunenburg,Virginia,school_close,2020/3/13,2021/3/1
51111,Lunenburg,Virginia,religion_close,2020/3/22,2020/5/24
51111,Lunenburg,Virginia,mask_mandate,2020/5/29,2021/5/28
51113,Madison,Virginia,mask_mandate,2020/5/29,2021/5/28
51115,Mathews,Virginia,business_close,2020/3/18,2020/5/14
51115,Mathews,Virginia,school_close,2020/3/13,2020/8/31
51115,Mathews,Virginia,mask_mandate,2020/5/29,2021/5/28
51117,Mecklenburg,Virginia,mask_mandate,2020/5/29,2021/5/28
51119,Middlesex,Virginia,business_close,2020/3/23,2020/5/14
51119,Middlesex,Virginia,school_close,2020/3/16,2020/11/5
51119,Middlesex,Virginia,mask_mandate,2020/5/29,2021/5/28
51121,Montgomery,Virginia,school_close,2020/3/16,2022/1/2
51121,Montgomery,Virginia,college_close,2020/3/23,2021/8/24
51121,Montgomery,Virginia,mask_mandate,2020/5/29,2021/5/28
51121,Montgomery,Virginia,mask_mandate,2021/11/20,2022/3/1
51125,Nelson,Virginia,school_close,2020/3/16,2021/3/1
51125,Nelson,Virginia,religion_close,2020/3/16,2020/5/24
51125,Nelson,Virginia,mask_mandate,2020/5/29,2021/5/28
51127,New Kent,Virginia,business_close,2020/3/24,2020/5/14
51127,New Kent,Virginia,mask_mandate,2021/8/23,2022/1/24
51131,Northampton,Virginia,school_close,2020/3/16,2022/1/3
51131,Northampton,Virginia,mask_mandate,2020/5/29,2022/2/23
51133,Northumberland,Virginia,school_close,2020/3/16,2020/8/24
51133,Northumberland,Virginia,religion_close,2020/3/15,2020/6/17
51133,Northumberland,Virginia,mask_mandate,2020/5/29,2021/5/28
51133,Northumberland,Virginia,mask_mandate,2021/8/10,2022/2/3
51135,Nottoway,Virginia,mask_mandate,2020/5/29,2021/5/28
51137,Orange,Virginia,business_close,2020/3/24,2020/6/12
51137,Orange,Virginia,school_close,2020/3/16,2020/8/24
51137,Orange,Virginia,mask_mandate,2020/5/29,2021/5/28
51137,Orange,Virginia,mask_mandate,2021/8/11,2022/3/7
51139,Page,Virginia,school_close,2020/3/13,2020/9/10
51139,Page,Virginia,college_close,2020/3/12,2020/8/24
51139,Page,Virginia,religion_close,2020/3/15,2020/7/4
51139,Page,Virginia,mask_mandate,2020/5/29,2021/5/28
51141,Patrick,Virginia,business_close,2020/3/24,2020/5/14
51141,Patrick,Virginia,school_close,2020/3/13,2020/9/14
51141,Patrick,Virginia,school_close,2020/3/13,2021/8/10
51141,Patrick,Virginia,mask_mandate,2020/5/29,2021/5/28
51143,Pittsylvania,Virginia,business_close,2020/3/24,2020/5/14
51143,Pittsylvania,Virginia,school_close,2020/3/16,2020/8/20
51143,Pittsylvania,Virginia,mask_mandate,2020/5/29,2021/5/28
51143,Pittsylvania,Virginia,mask_mandate,2021/8/12,2022/2/28
